Universidad,Licenciatura,Integridad Académica
Universidad Autónoma del Estado de México,Pedagogía,Baja Integridad
Universidad Autónoma de Yucatán,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Baja California,Matemáticas,Moderada Integridad
Universidad Autónoma del Estado de México,Sociología,Alta Integridad
Universidad Autónoma de Querétaro,Filosofía,Moderada Integridad
Universidad Autónoma de Chihuahua,Administración,Moderada Integridad
Universidad Autónoma de Guadalajara,Filosofía,Alta Integridad
Universidad Autónoma del Estado de México,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Derecho,Alta Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Baja Integridad
Universidad Autónoma del Estado de México,Economía,Alta Integridad
Universidad Autónoma de Nuevo León,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Querétaro,Economía,Moderada Integridad
Universidad Autónoma de Baja California,Nutrición,Alta Integridad
Universidad Autónoma de Querétaro,Arquitectura,Moderada Integridad
Universidad Nacional Autónoma de México,Derecho,Moderada Integridad
Universidad Autónoma del Estado de México,Derecho,Alta Integridad
Universidad Autónoma de Baja California,Nutrición,Baja Integridad
Universidad Nacional Autónoma de México,Biología,Alta Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Chihuahua,Historia,Baja Integridad
Universidad Autónoma Metropolitana,Economía,Baja Integridad
Universidad Autónoma del Estado de México,Economía,Alta Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Baja California,Medicina,Baja Integridad
Universidad Autónoma de San Luis Potosí,Biología,Baja Integridad
Universidad Autónoma del Estado de México,Sociología,Moderada Integridad
Universidad Autónoma de Nuevo León,Arquitectura,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Yucatán,Filosofía,Moderada Integridad
Universidad Autónoma Metropolitana,Sociología,Baja Integridad
